Question_ID,Questions,Answers
337,"""What is the national river of India?""","""The Ganga (Ganges) is the national river of India."""
338,"""How many colors are there in the Indian flag?""","""The Indian flag has three colors: saffron, white, and green."""
339,"""What is the capital of Maharashtra?""","""The capital of Maharashtra is Mumbai."""
340,"""Who is the first Indian to win a Nobel Prize?""","""Rabindranath Tagore was the first Indian to win a Nobel Prize."""
341,"""What is the tallest building in the world?""","""The Burj Khalifa in Dubai is the tallest building in the world."""
342,"""How many planets are in the solar system?""","""There are eight planets in the solar system."""
343,"""What is the largest city in India by population?""","""Mumbai is the largest city by population."""
344,"""What is the largest state in India by population?""","""Uttar Pradesh is the largest state by population."""
345,"""Who is the current President of India?""","""The current President of India is Droupadi Murmu."""
346,"""How many players are on a cricket team?""","""There are 11 players on a cricket team."""
347,"""Which country is the largest by area?""","""Russia is the largest country by area."""
348,"""What is the capital of West Bengal?""","""The capital of West Bengal is Kolkata."""
349,"""What is the currency of the United States?""","""The currency of the United States is the US Dollar (USD)."""
350,"""Who was the first person to walk on the moon?""","""Neil Armstrong was the first person to walk on the moon."""
351,"""What is the largest animal in the ocean?""","""The blue whale is the largest animal in the ocean."""
352,"""What is the capital of Karnataka?""","""The capital of Karnataka is Bengaluru."""
353,"""How many teeth does an adult human have?""","""An adult human has 32 teeth."""
354,"""What is the capital of Gujarat?""","""The capital of Gujarat is Gandhinagar."""
355,"""Who is the current Chief Minister of Delhi?""","""Arvind Kejriwal is the current Chief Minister of Delhi."""
356,"""How many time zones are there in India?""","""India has one time zone: Indian Standard Time (IST)."""
357,"""What is the capital of Rajasthan?""","""The capital of Rajasthan is Jaipur."""
358,"""What is the national animal of India?""","""The Bengal tiger is the national animal of India."""
359,"""What is the largest freshwater lake in India?""","""Wular Lake is the largest freshwater lake in India."""
360,"""How many players are on a football team?""","""There are 11 players on a football (soccer) team."""
361,"""Who invented the telephone?""","""Alexander Graham Bell invented the telephone."""
362,"""Who is known as the ""Iron Man of India""?""","""Sardar Vallabhbhai Patel is known as the ""Iron Man of India."""""
363,"""Who wrote the book The Discovery of India?""","""Jawaharlal Nehru wrote The Discovery of India."""
364,"""How many stripes are on the Indian flag?""","""There are no stripes, but the Indian flag has three horizontal bands."""
365,"""Who is the CEO of Google?""","""Sundar Pichai is the CEO of Google."""
366,"""Who invented the light bulb?""","""Thomas Edison invented the light bulb."""
367,"""What is the capital of Bihar?""","""The capital of Bihar is Patna."""
368,"""What is the national fruit of India?""","""The national fruit of India is the mango."""
369,"""Who discovered penicillin?""","""Alexander Fleming discovered penicillin."""
370,"""What is the capital of Odisha?""","""The capital of Odisha is Bhubaneswar."""
371,"""Who is the ""Father of the Indian Constitution""?""","""Dr. B.R. Ambedkar is known as the ""Father of the Indian Constitution."""""
372,"""Who won the first Indian Olympic gold medal?""","""India won its first Olympic gold in 1928 for field hockey."""
373,"""What is the capital of Punjab?""","""The capital of Punjab is Chandigarh."""
374,"""Who is the current Chief Justice of India?""","""[Insert current Chief Justice of India]"""
375,"""What is the official language of Kerala?""","""Malayalam is the official language of Kerala."""
376,"""What is the currency of the United Kingdom?""","""The currency of the United Kingdom is the British Pound (GBP)."""
377,"""What is the national flag of India called?""","""The national flag of India is called the Tiranga."""
378,"""Who wrote the book Wings of Fire?""","""Dr. A.P.J. Abdul Kalam wrote Wings of Fire."""
379,"""What is the capital of Assam?""","""The capital of Assam is Dispur."""
380,"""Who is known as the ""Flying Sikh""?""","""Milkha Singh is known as the ""Flying Sikh."""""
381,"""What is the largest island in the world?""","""Greenland is the largest island in the world."""
382,"""Who is the author of The Jungle Book?""","""Rudyard Kipling is the author of The Jungle Book."""
383,"""How many legs does a spider have?""","""A spider has eight legs."""
384,"""What is the name of the Indian Parliament building?""","""The Indian Parliament building is called Sansad Bhavan."""
385,"""Who was the first Indian to go to space?""","""Rakesh Sharma was the first Indian to go to space."""
386,"""What is the capital of Madhya Pradesh?""","""The capital of Madhya Pradesh is Bhopal."""
387,"""Who invented the airplane?""","""The Wright brothers invented the airplane."""
388,"""What is the largest lake in India?""","""Vembanad Lake is the largest lake in India."""
389,"""What is the capital of Andhra Pradesh?""","""The capital of Andhra Pradesh is Amaravati."""
390,"""Who is the author of the book Gitanjali?""","""Rabindranath Tagore is the author of Gitanjali."""
391,"""What is the capital of Uttarakhand?""","""The capital of Uttarakhand is Dehradun."""
392,"""Who discovered electricity?""","""Benjamin Franklin is credited with discovering electricity."""
393,"""What is the capital of Telangana?""","""The capital of Telangana is Hyderabad."""
394,"""How many players are on a basketball team?""","""There are five players on a basketball team."""
395,"""What is the capital of Himachal Pradesh?""","""The capital of Himachal Pradesh is Shimla."""
396,"""Who wrote the book My Experiments with Truth?""","""Mahatma Gandhi wrote My Experiments with Truth."""
397,"""What is the capital of Goa?""","""The capital of Goa is Panaji."""
398,"""Who was the first woman to become a Supreme Court judge in India?""","""Justice Fathima Beevi was the first woman to become a Supreme Court judge in India."""
399,"""What is the capital of Jammu and Kashmir?""","""The capital of Jammu and Kashmir is Srinagar (summer) and Jammu (winter)."""
400,"""What is the capital of Jharkhand?""","""The capital of Jharkhand is Ranchi."""
401,"""What is the purpose of the Protection of Women from Domestic Violence Act 2005?""","""The act aims to protect women from domestic violence and provides legal remedies. Relevant IPC sections include Section 498A which addresses cruelty by a husband or his relatives."""
402,"""What does the Dowry Prohibition Act 1961 prohibit?""","""It prohibits the giving and receiving of dowry. Violations can be penalized under Section 304B (dowry death) and Section 498A of the IPC."""
403,"""What is the Sexual Harassment of Women at Workplace (Prevention Prohibition and Redressal) Act 2013 designed to do?""","""It aims to prevent sexual harassment at the workplace and provides mechanisms for complaints and redressal. Related IPC sections include Section 354A (sexual harassment) and Section 509 (word gesture or act intended to insult the modesty of a woman)."""
404,"""What benefits does the Maternity Benefit Act 1961 provide?""","""The act ensures women are entitled to maternity leave and benefits during childbirth. While it doesn’t directly relate to the IPC, it complements women's rights in the workforce."""
405,"""What is the purpose of the Prohibition of Child Marriage Act 2006?""","""This act prohibits child marriage and establishes penalties for violations. Relevant sections include Section 9, which penalizes those who perform, conduct, or direct a child marriage."""
406,"""How does the Juvenile Justice (Care and Protection of Children) Act 2015 assist children?""","""It provides a framework for the care, protection, and rehabilitation of children in conflict with the law, focusing on their welfare and reintegration into society."""
407,"""What rights does the Right of Children to Free and Compulsory Education Act 2009 ensure?""","""It mandates free and compulsory education for children aged 6 to 14 years, ensuring their right to education."""
408,"""What does the Protection of Children from Sexual Offences Act 2012 aim to achieve?""","""The act provides legal protection for children from sexual offenses and establishes strict penalties for offenders. Relevant IPC sections include Section 375 (rape) and Section 376 (punishment for rape)."""
409,"""What is the goal of the Indecent Representation of Women (Prohibition) Act 1986?""","""This act prohibits the indecent portrayal of women in advertisements and publications, protecting women's dignity."""
410,"""How does the National Food Security Act 2013 benefit women and children?""","""It ensures access to sufficient food at affordable prices, providing nutritional security to women and children, particularly vulnerable groups."""
411,"""What provisions does the Maintenance and Welfare of Parents and Senior Citizens Act 2007 include?""","""It ensures that children provide maintenance to their elderly parents, reinforcing the responsibility towards senior citizens."""
412,"""What is the purpose of the Family Courts Act 1984?""","""It establishes family courts to adjudicate issues related to marriage and family, offering a specialized forum for such cases."""
413,"""What does the National Policy for the Empowerment of Women 2001 aim to accomplish?""","""The policy aims to eliminate discrimination and enhance the socio-economic status of women, promoting gender equality."""
414,"""What does the Women (Reservation of Seats) Bill propose?""","""It aims to reserve a certain percentage of seats for women in Parliament and State Legislatures, promoting women's political representation."""
415,"""How does the Right to Information Act 2005 benefit women and children?""","""It promotes transparency and accountability in governance, empowering citizens including women and children to request information from public authorities."""
416,"""What are the Adoption Regulations 2017 about?""","""These regulations provide guidelines for the adoption of children in India, ensuring their welfare and protection throughout the process."""
417,"""How does the Protection of Women from Domestic Violence Act (Amendment) aim to strengthen protections?""","""The amendment enhances protections against domestic violence, expanding the definition and scope of the act."""
418,"""What does the Trafficking of Persons (Prevention Protection and Rehabilitation) Bill seek to combat?""","""It aims to prevent trafficking of women and children and provides rehabilitation for victims, ensuring their rights and protection."""
419,"""What does the Prevention of Witch Hunting Act aim to do?""","""It prohibits witch-hunting practices, providing for the punishment of offenders and protection for victims."""
420,"""How does the Child Sexual Abuse Prevention and Protection Bill aim to help children?""","""It aims to prevent child sexual abuse and provides legal recourse for victims, reinforcing protections against exploitation."""
421,"""What does the Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act 1989 protect against?""","""It protects marginalized communities including women from violence and discrimination, ensuring justice and legal recourse."""
422,"""What rights does the Rights of Persons with Disabilities Act 2016 ensure?""","""It ensures equal rights and opportunities for persons with disabilities, including women and children, promoting their dignity and inclusion in society."""
423,"""What is the objective of the National Commission for Women Act?""","""To establish the National Commission for Women for protecting and promoting the rights of women, ensuring their voices are heard."""
424,"""How does the Juvenile Justice Act address children in conflict with the law?""","""It provides a framework for the care and rehabilitation of juvenile offenders, focusing on their reintegration into society."""
425,"""What does the Prohibition of Child Labour Act 1986 state?""","""It prohibits the employment of children below a certain age and regulates the working conditions for adolescents, protecting their rights and welfare."""
426,"""What does the National Policy for Women 2001 promote?""","""It promotes women's equality and empowerment in various spheres, ensuring their participation in decision-making."""
427,"""How does the Protection of Women from Domestic Violence Act 2005 define domestic violence?""","""It defines domestic violence as any act of omission or commission that harms or injures a woman, including physical, emotional, and economic abuse."""
428,"""What is the purpose of the Pre-Conception and Pre-Natal Diagnostic Techniques (Prohibition of Sex Selection) Act 1994?""","""The act prohibits sex selection and regulates the use of diagnostic techniques to prevent female foeticide."""
429,"""What does the Sexual Offences Act 2012 aim to do?""","""It aims to provide a comprehensive legal framework to protect children from sexual offences and establish stringent penalties."""
430,"""How does the Hindu Succession (Amendment) Act 2005 empower women?""","""It grants daughters equal rights in the inheritance of ancestral property, promoting gender equality in property rights."""
431,"""What is the purpose of the Protection of Women from Domestic Violence Act (Amendment) 2015?""","""The amendment seeks to extend protections to women in live-in relationships and ensure more comprehensive support."""
432,"""What does the Prohibition of Child Marriage Act 2006 stipulate regarding penalties?""","""It provides for rigorous imprisonment and fines for individuals involved in child marriages, ensuring legal repercussions."""
433,"""What is the goal of the Women's Reservation Bill?""","""It aims to reserve 33% of seats for women in local bodies and Parliament, enhancing women's political representation."""
434,"""How does the Right to Education Act address the issue of school dropouts?""","""It mandates schools to ensure that no child is discriminated against and provides for the re-enrollment of dropouts."""
435,"""What does the Maintenance and Welfare of Parents and Senior Citizens Act 2007 state about maintenance obligations?""","""It obliges children to provide maintenance to their parents and provides for penalties for non-compliance."""
436,"""What is the role of the National Commission for Protection of Child Rights (NCPCR)?""","""The NCPCR monitors the implementation of laws and policies to protect children's rights and promote their well-being."""
437,"""What does the Protection of Children from Sexual Offences Act 2012 define as a sexual offense against children?""","""It defines various forms of sexual assault against children, including penetrative and non-penetrative offenses, with specified punishments."""
438,"""What provisions does the Juvenile Justice Act 2015 include for child offenders?""","""It emphasizes rehabilitation over punishment for juvenile offenders, aiming for their reintegration into society."""
439,"""What does the Prohibition of Child Labour (Amendment) Act 2016 prohibit?""","""It prohibits the employment of children below the age of 14 years in any occupation and regulates the working conditions for adolescents."""
440,"""What does the Women’s Reservation Bill propose for local bodies?""","""It aims to reserve one-third of the total number of seats for women in local self-government bodies."""
441,"""How does the Dowry Prohibition Act 1961 address dowry-related offenses?""","""It defines dowry and stipulates penalties for demanding, giving, or receiving dowry, including imprisonment."""
442,"""What are the penalties under the Indecent Representation of Women (Prohibition) Act 1986?""","""The act prescribes penalties, including imprisonment and fines, for those who engage in indecent representation of women."""
443,"""What is the objective of the Child Rights Protection Act?""","""The act aims to ensure the rights of children to survival, development, protection, and participation in society."""
444,"""How does the National Food Security Act 2013 define eligibility for food benefits?""","""It defines eligibility based on income levels and provides food security for vulnerable populations, including women and children."""
445,"""What does the Prohibition of Child Marriage Act 2006 say about marriages involving minors?""","""It declares any marriage involving a child as void and provides legal recourse for annulment."""
446,"""What does the Right to Information Act 2005 empower citizens to do?""","""It empowers citizens to request information from public authorities, promoting transparency and accountability."""
447,"""What is the role of the Ministry of Women and Child Development in India?""","""The ministry is responsible for formulating policies and implementing programs for the welfare of women and children."""
448,"""How does the Protection of Women from Domestic Violence Act 2005 provide for interim relief?""","""It allows women to seek interim orders for protection, maintenance, and residence during legal proceedings."""
449,"""What is the goal of the Trafficking of Persons (Prevention Protection and Rehabilitation) Bill?""","""It aims to combat human trafficking and provides for the protection and rehabilitation of victims."""
450,"""What does the Child Sexual Abuse Prevention and Protection Bill emphasize?""","""It emphasizes the need for awareness and education to prevent child sexual abuse and provides legal safeguards for victims."""
451,"""What are the provisions of the Maintenance and Welfare of Parents and Senior Citizens Act 2007 regarding elderly care?""","""The act emphasizes the duty of children to care for their elderly parents, ensuring their well-being and support."""
452,"""What does the Dowry Prohibition Act 1961 say about dowry deaths?""","""It prescribes severe penalties for dowry deaths under Section 304B of the IPC, treating them as a serious offense."""
453,"""How does the National Policy for the Empowerment of Women 2001 aim to eliminate violence against women?""","""It proposes measures for legal reforms, support services, and awareness campaigns to combat violence against women."""
454,"""What is the objective of the Prohibition of Child Labour Act 1986?""","""The act aims to prohibit child labor in hazardous industries and regulate working conditions for young workers."""
455,"""What does the Protection of Women from Domestic Violence Act 2005 cover regarding economic abuse?""","""It recognizes economic abuse as a form of domestic violence, allowing women to seek financial remedies."""
456,"""What provisions does the Family Courts Act 1984 include for mediation?""","""The act encourages mediation between parties in family disputes to resolve issues amicably before proceeding to trial."""
457,"""What does the Sexual Harassment of Women at Workplace (Prevention Prohibition and Redressal) Act 2013 establish?""","""It establishes a mechanism for filing complaints and conducting inquiries into sexual harassment incidents at the workplace."""
458,"""How does the National Food Security Act 2013 ensure women's access to food?""","""It provides provisions to prioritize women-headed households in accessing food subsidies, promoting food security."""
459,"""What is the purpose of the Right of Children to Free and Compulsory Education Act 2009?""","""It ensures that all children aged 6 to 14 years have the right to free and quality education, eliminating barriers to learning."""
460,"""What does the Trafficking of Persons (Prevention Protection and Rehabilitation) Bill state regarding prevention?""","""It emphasizes prevention through awareness programs and community involvement to combat trafficking."""
461,"""How does the Prohibition of Child Marriage Act 2006 impact the legal age for marriage?""","""It establishes the legal age for marriage at 18 for girls and 21 for boys, promoting gender equality."""
462,"""What provisions does the Maintenance and Welfare of Parents and Senior Citizens Act 2007 include for elderly women?""","""The act provides specific provisions to protect the rights and welfare of elderly women, ensuring their maintenance."""
463,"""What is the objective of the Protection of Children from Sexual Offences Act 2012?""","""It aims to provide stringent legal measures to protect children from sexual offenses and ensure justice for victims."""
464,"""How does the National Commission for Women Act support women's rights?""","""It establishes the National Commission for Women to monitor issues concerning women's rights and recommend policy reforms."""
465,"""What does the Sexual Offences Act 2012 define as consent?""","""It defines consent as an agreement between two persons where consent must be given voluntarily, without coercion."""
466,"""How does the Juvenile Justice (Care and Protection of Children) Act 2015 ensure the best interests of children?""","""It prioritizes the best interests of children in all actions and decisions concerning their care and protection."""
467,"""What are the penalties for trafficking under the Trafficking of Persons Bill?""","""The bill prescribes stringent penalties, including imprisonment, for trafficking offenses, protecting vulnerable populations."""
468,"""What does the Indecent Representation of Women (Prohibition) Act 1986 protect against?""","""It protects against the indecent representation of women in media and advertisements, ensuring dignity and respect."""
469,"""How does the Family Courts Act 1984 address child custody issues?""","""It provides a specialized framework for resolving child custody disputes, with a focus on the child's welfare."""
470,"""What rights does the Child Rights Protection Act provide?""","""It provides rights related to survival, development, protection, and participation for all children in India."""
471,"""How does the Prohibition of Child Labour Act 1986 define a child?""","""It defines a child as a person who has not completed 14 years of age, prohibiting their employment in hazardous work."""
472,"""What does the Maternity Benefit Act 1961 state about maternity leave?""","""It entitles women to a minimum of 26 weeks of maternity leave, ensuring their right to take time off for childbirth."""
473,"""What does the National Food Security Act 2013 emphasize regarding nutrition for children?""","""It emphasizes the need for adequate nutrition for children, ensuring food security for vulnerable groups."""
474,"""How does the Protection of Women from Domestic Violence Act 2005 define emotional abuse?""","""It defines emotional abuse as any act that diminishes a woman’s sense of self-worth or self-esteem."""
475,"""What is the role of the National Commission for Protection of Child Rights (NCPCR)?""","""The NCPCR works to protect and promote the rights of children, ensuring their welfare and development."""
476,"""How does the Sexual Harassment of Women at Workplace (Prevention Prohibition and Redressal) Act 2013 handle complaints?""","""It mandates the establishment of Internal Complaints Committees in organizations to handle complaints of sexual harassment."""
477,"""What are the provisions of the Juvenile Justice Act 2015 for rehabilitation?""","""It includes provisions for rehabilitation and social reintegration of children in conflict with the law."""
478,"""How does the Dowry Prohibition Act 1961 address demands for dowry?""","""It prohibits any demands for dowry and establishes penalties for those who coerce or pressure families for dowry."""
479,"""What does the Prohibition of Child Marriage Act 2006 state about child marriages?""","""It declares child marriages as void and allows for legal action against those facilitating such marriages."""
480,"""How does the Maintenance and Welfare of Parents and Senior Citizens Act 2007 assist elderly individuals?""","""It provides for the legal rights of parents and senior citizens to seek maintenance from their children and relatives."""
481,"""What is the objective of the National Policy for Women 2001?""","""It aims to empower women socially, economically, and politically, promoting gender equality in various sectors."""
482,"""What provisions does the Adoption Regulations 2017 include for adoptive parents?""","""They include eligibility criteria, procedures, and safeguards for the adoption of children to ensure their welfare."""
483,"""What does the Protection of Children from Sexual Offences Act 2012 state regarding reporting?""","""It mandates the reporting of child sexual abuse cases to authorities, emphasizing the responsibility of adults to protect children."""
484,"""How does the Prohibition of Child Labour Act 1986 ensure education for working children?""","""It mandates that children engaged in work must be provided with educational opportunities, ensuring their right to education."""
485,"""What does the Right of Children to Free and Compulsory Education Act 2009 say about private schools?""","""It mandates private schools to reserve a certain percentage of seats for underprivileged children, promoting inclusivity."""
486,"""How does the Dowry Prohibition Act 1961 define dowry?""","""It defines dowry as any property or valuable security given or agreed to be given in connection with marriage."""
487,"""What is the significance of the National Commission for Women Act?""","""It establishes a statutory body to address issues affecting women and recommend policy measures for their empowerment."""
488,"""What does the Protection of Women from Domestic Violence Act 2005 offer for protection orders?""","""It allows courts to issue protection orders to safeguard women from domestic violence and ensure their safety."""
489,"""What are the penalties under the Trafficking of Persons (Prevention Protection and Rehabilitation) Bill for traffickers?""","""The bill prescribes severe penalties, including life imprisonment for traffickers, deterring trafficking activities."""
490,"""How does the Maternity Benefit Act 1961 address maternity benefits for adoptive mothers?""","""It provides maternity benefits to women adopting a child, ensuring that they receive the same rights as biological mothers."""
491,"""What does the Prohibition of Child Marriage Act 2006 say about the role of parents in child marriage?""","""It holds parents accountable for facilitating child marriages and provides for penalties against them."""
492,"""What does the National Food Security Act 2013 prioritize for vulnerable groups?""","""It prioritizes access to food for women-headed households and children, ensuring their nutritional security."""
493,"""How does the Child Rights Protection Act ensure children's participation?""","""It emphasizes the right of children to participate in decisions affecting them, promoting their voice in society."""
494,"""What is the goal of the National Policy for the Empowerment of Women 2001?""","""The goal is to eliminate discrimination against women and ensure their empowerment in all spheres of life."""
495,"""How does the Juvenile Justice Act 2015 address child welfare?""","""It includes provisions for child welfare committees to ensure the rights and needs of children are met."""
496,"""What does the Dowry Prohibition Act 1961 provide for legal recourse?""","""It provides for victims of dowry-related violence to seek legal recourse and compensation for their suffering."""
497,"""What does the Right to Education Act say about school infrastructure?""","""It mandates that schools must meet certain infrastructure standards to provide a conducive learning environment."""
498,"""How does the Sexual Harassment of Women at Workplace (Prevention Prohibition and Redressal) Act 2013 define sexual harassment?""","""It defines sexual harassment as any unwelcome act or behavior that violates a woman's dignity at the workplace."""
499,"""What are the penalties under the Protection of Women from Domestic Violence Act 2005?""","""The act prescribes penalties for violating protection orders, including imprisonment and fines."""
500,"""How does the National Policy for Women 2001 aim to improve women's health?""","""It aims to improve women's health through access to healthcare services and awareness programs, promoting health and nutrition."""
501,"""What does Section 375 IPC define as rape?""","""Section 375 IPC defines rape as sexual intercourse with a woman without her consent, under circumstances such as coercion, deceit, or underage (below 18 years), punishable by 7 years to life imprisonment."""
502,"""What is the punishment for rape under Section 376 IPC?""","""Under Section 376 IPC, the punishment for rape is rigorous imprisonment for not less than 7 years, extendable to life imprisonment, and a fine."""
503,"""What is the punishment for aggravated penetrative sexual assault under the POCSO Act?""","""Section 6 of the POCSO Act prescribes a minimum punishment of 10 years, extendable to life imprisonment, for aggravated penetrative sexual assault."""
504,"""What is the punishment for sexual harassment under Section 354A IPC?""","""Section 354A IPC provides a punishment for sexual harassment ranging from 1 to 3 years of imprisonment, and a fine."""
505,"""What is the minimum age for consensual sex under Indian law?""","""Under Section 375 IPC, the minimum age for consensual sex is 18 years, and any sexual act with a minor is considered statutory rape."""
506,"""What does Section 377 IPC criminalize?""","""Section 377 IPC criminalizes unnatural offenses, including non-consensual carnal intercourse against the order of nature, punishable with 10 years to life imprisonment."""
507,"""What is the punishment for child sexual abuse under the POCSO Act?""","""Section 4 of the POCSO Act mandates a minimum of 10 years imprisonment for penetrative sexual assault on a minor, which can extend to life imprisonment."""
508,"""What is the punishment for voyeurism under Section 354C IPC?""","""Section 354C IPC punishes voyeurism with 1 to 3 years imprisonment for the first conviction, and 3 to 7 years for subsequent convictions."""
509,"""What does Section 376B IPC punish?""","""Section 376B IPC punishes sexual intercourse by a husband with his wife during separation, with imprisonment of 2 to 7 years and a fine."""
510,"""What is the punishment for stalking under Section 354D IPC?""","""Section 354D IPC punishes stalking with up to 3 years imprisonment for the first offense and up to 5 years for repeat offenses."""
511,"""What is the punishment for using children for pornography under the POCSO Act?""","""Section 14 of the POCSO Act prescribes 5 to 7 years imprisonment and a fine for using a child for pornographic purposes."""
512,"""What does Section 228A IPC prohibit?""","""Section 228A IPC prohibits the publication of the identity of a rape victim without their consent, punishable by up to 2 years imprisonment and a fine."""
513,"""What is the punishment for failing to register a First Information Report (FIR) in cases of sexual assault?""","""Under Section 166A IPC, failure by a public servant to register an FIR for sexual assault is punishable by imprisonment for up to 2 years."""
514,"""What is the punishment for abetment of sexual offenses under the POCSO Act?""","""Under Section 16 of the POCSO Act, abetment of sexual offenses is punishable with the same penalty as the main offense, ranging from 3 years to life imprisonment."""
515,"""What does Section 354A IPC address in the context of sexual harassment?""","""Section 354A IPC defines and punishes sexual harassment, including unwelcome physical contact, demands for sexual favors, showing pornography, and making sexual remarks. Punishment ranges from up to 3 years imprisonment, a fine, or both."""
516,"""What is the legal provision for registering a case of sexual assault of a minor?""","""Under Section 19 of the POCSO Act, any person who is aware of a sexual offense against a minor is mandated to report it to the police. Failure to do so may result in 6 months of imprisonment and/or a fine."""
517,"""What does Section 376A IPC cover regarding sexual offenses resulting in death or vegetative state?""","""Section 376A IPC deals with cases where a rape results in the victim’s death or a permanent vegetative state, punishable with 20 years to life imprisonment, or the death penalty."""
518,"""What is the punishment for commercial sexual exploitation of children under IPC?""","""Section 372 IPC addresses the selling of minors for prostitution, punishable by up to 10 years imprisonment and a fine."""
519,"""What does Section 376(2) IPC cover?""","""Section 376(2) IPC lists aggravated forms of rape, including rape by a police officer, public servant, or during communal violence, punishable by 10 years to life imprisonment."""
520,"""What is the role of the Child Welfare Committee (CWC) under the POCSO Act?""","""The Child Welfare Committee (CWC) ensures care and protection of children involved in cases of sexual abuse as per Section 19 of the POCSO Act, and ensures the child’s statement is recorded in a child-friendly manner."""
521,"""What is the punishment for indecent exposure under Indian law?""","""Section 294 IPC penalizes indecent acts, such as exposure or obscene acts in public places, with up to 3 months of imprisonment, a fine, or both."""
522,"""What constitutes an offense under Section 377 IPC post-decriminalization of consensual acts?""","""Section 377 IPC criminalizes non-consensual acts or sexual activities with animals, with a punishment of 10 years to life imprisonment for unnatural offenses."""
523,"""What is the punishment for kidnapping a minor for sexual exploitation under IPC?""","""Section 363 IPC addresses kidnapping a minor (under 18 years for girls, under 16 years for boys) for illicit purposes, punishable by up to 7 years imprisonment and a fine."""
524,"""What does Section 166A IPC deal with in terms of police accountability?""","""Section 166A IPC imposes punishment on public servants, including police officers, for failing to perform their duties related to investigating sexual offenses, punishable with up to 2 years imprisonment."""
525,"""What is the punishment for sexual assault committed by a police officer under POCSO Act?""","""Under Section 6 of the POCSO Act, a police officer who commits sexual assault on a minor is subject to rigorous imprisonment of 10 years to life imprisonment"""
526,"""What is the punishment for compelling a woman into prostitution under IPC?""","""Section 366B IPC criminalizes importing a woman under 21 years for illicit purposes, punishable with up to 10 years imprisonment and a fine."""
527,"""What does Section 354B IPC address regarding disrobing a woman?""","""Section 354B IPC punishes anyone who assaults or uses criminal force with the intention of disrobing a woman, with a punishment of 3 to 7 years imprisonment and a fine."""
528,"""What is the punishment for penetrative sexual assault under the POCSO Act?""","""Section 4 of the POCSO Act prescribes a minimum punishment of 10 years imprisonment, extendable to life imprisonment, for penetrative sexual assault."""
529,"""What does Section 375 IPC define as consent in rape cases?""","""Section 375 IPC explains that consent must be free, voluntary, and unequivocal. Consent obtained under fear, coercion, intoxication, or deception does not qualify as valid consent."""
530,"""What is the punishment for attempting to commit a sexual offense under IPC?""","""An attempt to commit a sexual offense, such as rape, is punishable under Section 511 IPC, with a penalty of half the punishment prescribed for the completed offense."""
531,"""What is the punishment for child sexual abuse involving penetrative assault under the POCSO Act?""","""Section 4 of the POCSO Act mandates a punishment of 10 years to life imprisonment for penetrative sexual assault on a child."""
532,"""What does Section 354 IPC criminalize?""","""Section 354 IPC criminalizes any act of assault or use of criminal force intended to outrage the modesty of a woman, punishable by 1 to 5 years of imprisonment."""
533,"""What are the legal safeguards for recording the statement of a child victim under the POCSO Act?""","""The POCSO Act requires that the child’s statement be recorded in a child-friendly environment by a female police officer, preferably at the child’s home, to avoid re-traumatization."""
534,"""What is the punishment for kidnapping and abduction for forced marriage under IPC?""","""Section 366 IPC prescribes up to 10 years imprisonment for kidnapping or abducting a woman with the intent to compel her to marry or to have illicit intercourse."""
535,"""What is the penalty for abusing a minor online under the Information Technology Act?""","""Section 67B of the IT Act punishes online child abuse or exposure to sexual content involving minors, with up to 5 years imprisonment and a fine for the first conviction, and up to 7 years imprisonment for subsequent offenses."""
536,"""What is the punishment for grooming a child for sexual purposes under the POCSO Act?""","""Grooming a child for sexual purposes is considered sexual harassment under Section 11 of the POCSO Act, punishable with up to 3 years imprisonment under Section 12."""
537,"""What does Section 354D IPC deal with in relation to stalking?""","""Section 354D IPC criminalizes stalking, including repeated monitoring, contacting, or following a woman, punishable by up to 3 years imprisonment for the first conviction, and up to 5 years imprisonment for subsequent convictions."""
538,"""What is the legal age of marriage in India?""","""The legal age for marriage in India is 18 years for women and 21 years for men."""
539,"""What is the punishment for using children for pornographic purposes under the POCSO Act?""","""Under Section 14 of the POCSO Act, using a child for pornographic purposes is punishable with 5 to 7 years imprisonment, along with a fine."""
540,"""What is the penalty for failure to report sexual offenses under the POCSO Act?""","""Failure to report sexual offenses against minors is punishable under Section 21 of the POCSO Act with 6 months imprisonment and a fine."""
541,"""What is the punishment for abduction with intent to marry under IPC?""","""Under Section 366 IPC, abduction with the intent to marry a woman or force her into illicit intercourse is punishable by up to 10 years imprisonment and a fine."""
542,"""What does Section 326A IPC cover regarding acid attacks?""","""Section 326A IPC punishes acid attacks causing grievous hurt, with a minimum of 10 years imprisonment, extendable to life imprisonment, and a fine."""
543,"""What does Section 354C IPC deal with in relation to voyeurism?""","""Section 354C IPC criminalizes voyeurism, such as watching or capturing a woman in a private act without her consent, punishable with 1 to 3 years imprisonment for the first conviction, and 3 to 7 years imprisonment for repeat offenses."""
544,"""What is the punishment for disclosing the identity of a sexual assault victim under IPC?""","""Under Section 228A IPC, disclosing the identity of a sexual assault victim is punishable with up to 2 years imprisonment and a fine."""
545,"""What is the punishment for sexual exploitation of trafficked persons under IPC?""","""Section 370 IPC punishes trafficking for the purpose of sexual exploitation, with 10 years to life imprisonment, depending on the severity of the offense."""
